Scraping Date,Scraping Time,ID,Posted at,Deleted at,Reposted at,Job Title,Workplace Type,Location,Type,Job Type,Apply Link,Description,Requirements,Highlights
08/07/2025,11:07,4539820005,08/07/2025,11/11/2025,12/11/2025,Advanced Biology Expertise Sought for AI Training,Remote,"United States, Canada, Puerto Rico, Mexico, United Kingdom, New Zealand, Australia, Argentina, Singapore, Germany, France, Netherlands, Spain, Italy, Ireland, Japan, Israel, Korea, Republic of, Taiwan, Province of China, Austria, Belgium, India",Specialists,,https://app.outlier.ai/en/expert/opportunities/4539820005?location=All&type=All,"About Outlier
Outlier is the world’s leading expert platform, connecting a network of over 100,000 contributors worldwide to improve AI models by providing expert human feedback. We partner with companies including OpenAI, Meta and Microsoft to enable advanced generative AI models to provide accurate responses and advanced reasoning capabilities.

We are looking for advanced Biology experts to teach AI how to interpret and solve complex problems by:
- Evaluate AI-generated contentfor factual accuracy and relevance in Biology
- Develop and answer Biology-related questionsto refine AI understanding.
- Assess and rank AI responsesbased on scientific rigor.

Required expertise and qualifications:
- Education:Bachelor's, Master’s degree or higher (PhD preferred) inBiologyor a related field (can be currently enrolled)
- Research Experience:Strong preference for candidates with peer-reviewed publications, patents, conference presentations, research grants, or industry R&D contributions
- English Proficiency:Ability to read and write with minimal errors
- Bonus Skills:AI model training experience is not required but helpful

Payment:
- Currently, pay rates for core project work byBiologyexperts range from $30 to $50 per hour USD but varies based on your geographic location(see note below)
- Opportunities forhigher-paying research projectsbased on performance.

Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4539801005,08/07/2025,11/11/2025,12/11/2025,Advanced Chemistry Expertise Sought for AI Training,Remote,"United States, Canada, Puerto Rico, Mexico, United Kingdom, New Zealand, Australia, Argentina, Singapore, Germany, France, Netherlands, Spain, Italy, Ireland, Japan, Israel, Korea, Republic of, Taiwan, Province of China, Austria, Belgium",Specialists,,https://app.outlier.ai/en/expert/opportunities/4539801005?location=All&type=All,"About Outlier
Outlier is the world’s leading expert platform, connecting a network of over 100,000 contributors worldwide to improve AI models by providing expert human feedback. We partner with companies including OpenAI, Meta and Microsoft to enable advanced generative AI models to provide accurate responses and advanced reasoning capabilities.

We are looking for advanced Chemistry experts to teach AI how to interpret and solve complex problems by:
- Evaluate AI-generated contentfor factual accuracy and relevance in Chemistry.
- Develop and answer Chemistry-related questionsto refine AI understanding.
- Assess and rank AI responsesbased on scientific rigor.

Required expertise and qualifications:
- Education:Master’s degree or higher (PhD preferred) in Chemistry or a related field (can be currently enrolled)
- Research Experience:Strong preference for candidates with peer-reviewed publications, patents, conference presentations, research grants, or industry R&D contributions
- English Proficiency:Ability to read and write with minimal errors
- Bonus Skills:AI model training experience is not required but helpful

Payment:
- Currently, pay rates for core project work byChemistryexperts range from $30 to $50 per hour USD but varies based on your geographic location(see note below)
- Opportunities forhigher-paying research projectsbased on performance.

Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4539815005,08/07/2025,11/11/2025,12/11/2025,Advanced Physics Expertise Sought for AI Training,Remote,"United States, Canada, Puerto Rico, Mexico, United Kingdom, New Zealand, Australia, Argentina, Singapore, Germany, France, Netherlands, Spain, Italy, Ireland, Japan, Israel, Korea, Republic of, Taiwan, Province of China, Austria, Belgium, India",Specialists,,https://app.outlier.ai/en/expert/opportunities/4539815005?location=All&type=All,"About Outlier
Outlier is the world’s leading expert platform, connecting a network of over 100,000 contributors worldwide to improve AI models by providing expert human feedback. We partner with companies including OpenAI, Meta and Microsoft to enable advanced generative AI models to provide accurate responses and advanced reasoning capabilities.

We are looking for advanced Physics experts to teach AI how to interpret and solve complex problems by:
- Evaluate AI-generated contentfor factual accuracy and relevance in Physics.
- Develop and answer Physics-related questionsto refine AI understanding.
- Assess and rank AI responsesbased on scientific rigor.

Required expertise and qualifications:
- Education:Master’s degree or higher (PhD preferred) inPhysicsor a related field (can be currently enrolled)
- Research Experience:Strong preference for candidates with peer-reviewed publications, patents, conference presentations, research grants, or industry R&D contributions
- English Proficiency:Ability to read and write with minimal errors
- Bonus Skills:AI model training experience is not required but helpful

Payment:
- Currently, pay rates for core project work byPhysicsexperts range from $30 to $50 per hour USD but varies based on your geographic location(see note below)
- Opportunities forhigher-paying research projectsbased on performance.

Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4475584005,08/07/2025,24/09/2025,,AI Math Trainer,Remote,"United States, Canada, Puerto Rico, Mexico, United Kingdom, Australia, New Zealand, Argentina, Singapore, Netherlands, France, Ireland, Germany, Spain, Italy, Finland, Denmark, Norway, Israel, Japan, Korea, Republic of, Taiwan, Province of China, Poland, Switzerland, Sweden, Belgium, Austria",Specialists,,https://app.outlier.ai/en/expert/opportunities/4475584005?location=All&type=All,"Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced Math Expert who would like to lend your expertise to train AI models?

About the opportunity:

- Outlier is looking for talentedMath Expertsto help train generative artificial intelligence models
- This freelance opportunity is remote and hours are flexible, so you can work whenever is best for you

You may contribute your expertise by…

- Assessing the factuality and relevance of domain-specific text produced by AI models
- Crafting and answering questions related toMath
- Evaluating and ranking domain-specific responses generated by AI models

Examples of desirable expertise:

- ABachelor'sor higher degree inMathor a related subject (Statistics, Economics, Finance, Actuary, Data Analytics)
- Experience working as aMath professional
- Ability to write clearly about concepts related toMathin fluent English

Payment:
- Currently, pay rates for core project work byMathexperts range from $30 to $50 per hour USD.

- Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4552519005,08/07/2025,11/07/2025,,Bring Your Voice to AI Training - Bengali,Remote,India,Specialists,,https://app.outlier.ai/en/expert/opportunities/4552519005?location=All&type=All,"Help Train the Next Generation of Audio AI
Outlier helps the world’s most innovative companies improve their AI models by collecting high-quality human feedback. We’re currently recruiting people who can bring energy, emotion, and clarity to their voice, whether you’re a professional voice actor or someone with a naturally expressive personality. This is part of a research initiative aimed at helping AI better understand real human speech—tone, intent, and emotion.

﻿What to Expect
You'll contribute to a variety of audio-based tasks, including both solo and interactive recordings. Some projects involve reading short scripts in different tones or emotional styles. Others may pair you with fellow contributors to record natural, unscripted conversations on everyday topics like your favorite movies, personal experiences, or cultural perspectives.

We are not just looking for professional voice actors. This opportunity is also a great fit if you have a background in:
- Call centers or customer support
- Improv or theater
- Podcasting
- Vocal performance or singing
- Or if you're just naturally outgoing, expressive, and speak with clarity
- Native fluency inBengali
- Strong vocal expression and emotional range
- Quiet, distraction-free recording environment
- Any prior voice-related experience or comfort speaking on mic

- Theater, improv, or acting background
- Classical vocal training or public speaking experience
- Audio interface or professional-grade mic setup

- Record short voice clips with different tones, emotions, and styles
- Give feedback on recordings from other contributors
- Edit and review scripts for flow and clarity
- Maintain clean, high-quality audio recordings using tools like Audacity
- You can view responses to frequently asked questions here -FAQ Document

Payment:
- Currently, pay rates for core project work for voice recording areupto $40 USD per hour.

PLEASE NOTE:We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4542984005,08/07/2025,11/07/2025,,Bring Your Voice to AI Training - English,Remote,"United States, Canada",Specialists,,https://app.outlier.ai/en/expert/opportunities/4542984005?location=All&type=All,"Help Train the Next Generation of Audio AI
Outlier helps the world’s most innovative companies improve their AI models by collecting high-quality human feedback. We’re currently recruiting people who can bring energy, emotion, and clarity to their voice, whether you’re a professional voice actor or someone with a naturally expressive personality. This is part of a research initiative aimed at helping AI better understand real human speech—tone, intent, and emotion.

We are not just looking for professional voice actors. This opportunity is also a great fit if you have a background in:
- Call centers or customer support
- Improv or theater
- Podcasting
- Vocal performance or singing
- Or if you're just naturally outgoing, expressive, and speak with clarity
- Native fluency inEnglish
- Strong vocal expression and emotional range
- Quiet, distraction-free recording environment
- Any prior voice-related experience or comfort speaking on mic

- Theater, improv, or acting background
- Classical vocal training or public speaking experience
- Audio interface or professional-grade mic setup

- Record short voice clips with different tones, emotions, and styles
- Give feedback on recordings from other contributors
- Edit and review scripts for flow and clarity
- Maintain clean, high-quality audio recordings using tools like Audacity
- You can view responses to frequently asked questions here -FAQ Document

Payment:
- Currently, pay rates for core project work for voice recording areupto $40 USD per hour.

Note:Candidates based in the states of California, Illinois, New Jersey, New York, Texas, and Washington are currently not eligible.

PLEASE NOTE:We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

- This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4541842005,08/07/2025,11/07/2025,,Bring Your Voice to AI Training - Italian,Remote,Italy,Specialists,,https://app.outlier.ai/en/expert/opportunities/4541842005?location=All&type=All,"Help Train the Next Generation of Audio AI
Outlier helps the world’s most innovative companies improve their AI models by collecting high-quality human feedback. We’re currently recruiting people who can bring energy, emotion, and clarity to their voice, whether you’re a professional voice actor or someone with a naturally expressive personality. This is part of a research initiative aimed at helping AI better understand real human speech—tone, intent, and emotion.

﻿What to Expect
You'll contribute to a variety of audio-based tasks, including both solo and interactive recordings. Some projects involve reading short scripts in different tones or emotional styles. Others may pair you with fellow contributors to record natural, unscripted conversations on everyday topics like your favorite movies, personal experiences, or cultural perspectives.

We are not just looking for professional voice actors. This opportunity is also a great fit if you have a background in:
- Call centers or customer support
- Improv or theater
- Podcasting
- Vocal performance or singing
- Or if you're just naturally outgoing, expressive, and speak with clarity
- Native fluency inItalian
- Strong vocal expression and emotional range
- Quiet, distraction-free recording environment
- Any prior voice-related experience or comfort speaking on mic

- Theater, improv, or acting background
- Classical vocal training or public speaking experience
- Audio interface or professional-grade mic setup

- Record short voice clips with different tones, emotions, and styles
- Give feedback on recordings from other contributors
- Edit and review scripts for flow and clarity
- Maintain clean, high-quality audio recordings using tools like Audacity
- You can view responses to frequently asked questions here -FAQ Document

Payment:
- Currently, pay rates for core project work for voice recording areupto $40 USD per hour.

PLEASE NOTE:We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4540339005,08/07/2025,11/07/2025,,Bring Your Voice to AI Training - Japanese,Remote,Japan,Specialists,,https://app.outlier.ai/en/expert/opportunities/4540339005?location=All&type=All,"Help Train the Next Generation of Audio AI
Outlier helps the world’s most innovative companies improve their AI models by collecting high-quality human feedback. We’re currently recruiting people who can bring energy, emotion, and clarity to their voice, whether you’re a professional voice actor or someone with a naturally expressive personality. This is part of a research initiative aimed at helping AI better understand real human speech—tone, intent, and emotion.

What to Expect
You'll contribute to a variety of audio-based tasks, including both solo and interactive recordings. Some projects involve reading short scripts in different tones or emotional styles. Others may pair you with fellow contributors to record natural, unscripted conversations on everyday topics like your favorite movies, personal experiences, or cultural perspectives.

We are not just looking for professional voice actors. This opportunity is also a great fit if you have a background in:
- Call centers or customer support
- Improv or theater
- Podcasting
- Vocal performance or singing
- Or if you're just naturally outgoing, expressive, and speak with clarity
- Native fluency in Japanese
- Strong vocal expression and emotional range
- Quiet, distraction-free recording environment
- Any prior voice-related experience or comfort speaking on mic

- Theater, improv, or acting background
- Classical vocal training or public speaking experience
- Audio interface or professional-grade mic setup

- Record short voice clips with different tones, emotions, and styles
- Give feedback on recordings from other contributors
- Edit and review scripts for flow and clarity
- Maintain clean, high-quality audio recordings using tools like Audacity
- You can view responses to frequently asked questions here -FAQ Document

Payment:
- Currently, pay rates for core project work for voice recording areupto $40 USD per hour.

PLEASE NOTE:We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

- This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4564709005,08/07/2025,11/07/2025,,Bring Your Voice to AI Training - Korean,Remote,"Korea, Republic of",Specialists,,https://app.outlier.ai/en/expert/opportunities/4564709005?location=All&type=All,"Help Train the Next Generation of Audio AI
Outlier helps the world’s most innovative companies improve their AI models by collecting high-quality human feedback. We’re currently recruiting people who can bring energy, emotion, and clarity to their voice, whether you’re a professional voice actor or someone with a naturally expressive personality. This is part of a research initiative aimed at helping AI better understand real human speech—tone, intent, and emotion.

﻿What to Expect
You'll contribute to a variety of audio-based tasks, including both solo and interactive recordings. Some projects involve reading short scripts in different tones or emotional styles. Others may pair you with fellow contributors to record natural, unscripted conversations on everyday topics like your favorite movies, personal experiences, or cultural perspectives.

We are not just looking for professional voice actors. This opportunity is also a great fit if you have a background in:
- Call centers or customer support
- Improv or theater
- Podcasting
- Vocal performance or singing
- Or if you're just naturally outgoing, expressive, and speak with clarity
- Native fluency inKorean
- Strong vocal expression and emotional range
- Quiet, distraction-free recording environment
- Any prior voice-related experience or comfort speaking on mic

- Theater, improv, or acting background
- Classical vocal training or public speaking experience
- Audio interface or professional-grade mic setup

- Record short voice clips with different tones, emotions, and styles
- Give feedback on recordings from other contributors
- Edit and review scripts for flow and clarity
- Maintain clean, high-quality audio recordings using tools like Audacity
- You can view responses to frequently asked questions here -FAQ Document

Payment:
- Currently, pay rates for core project work for voice recording areupto $40 USD per hour.

PLEASE NOTE:We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
08/07/2025,11:07,4557806005,08/07/2025,11/07/2025,,Bring Your Voice to AI Training - Polish,Remote,Poland,Specialists,,https://app.outlier.ai/en/expert/opportunities/4557806005?location=All&type=All,"Help Train the Next Generation of Audio AI
Outlier helps the world’s most innovative companies improve their AI models by collecting high-quality human feedback. We’re currently recruiting people who can bring energy, emotion, and clarity to their voice, whether you’re a professional voice actor or someone with a naturally expressive personality. This is part of a research initiative aimed at helping AI better understand real human speech—tone, intent, and emotion.

﻿What to Expect
You'll contribute to a variety of audio-based tasks, including both solo and interactive recordings. Some projects involve reading short scripts in different tones or emotional styles. Others may pair you with fellow contributors to record natural, unscripted conversations on everyday topics like your favorite movies, personal experiences, or cultural perspectives.

We are not just looking for professional voice actors. This opportunity is also a great fit if you have a background in:
- Call centers or customer support
- Improv or theater
- Podcasting
- Vocal performance or singing
- Or if you're just naturally outgoing, expressive, and speak with clarity
- Native fluency inPolish
- Strong vocal expression and emotional range
- Quiet, distraction-free recording environment
- Any prior voice-related experience or comfort speaking on mic

- Theater, improv, or acting background
- Classical vocal training or public speaking experience
- Audio interface or professional-grade mic setup

- Record short voice clips with different tones, emotions, and styles
- Give feedback on recordings from other contributors
- Edit and review scripts for flow and clarity
- Maintain clean, high-quality audio recordings using tools like Audacity
- You can view responses to frequently asked questions here -FAQ Document

Payment:
- Currently, pay rates for core project work for voice recording areupto $40 USD per hour.

PLEASE NOTE:We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",,"Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry
Remote work: Work from the comfort of your home, or wherever you want
Flexible hours: Work anytime, you set your schedule
Weekly payouts: Don't wait weeks to get paid
Flex your expertise: Apply your skills to the development of the world's most exciting industry"
